0,1,2
252.0,26.0,1048.0
253.0,27.0,1132.0
253.0,28.0,1143.5
254.0,27.0,1132.0
254.0,28.0,1143.5
254.0,29.0,1155.0
254.0,30.0,1166.5
254.0,31.0,1177.5
254.0,32.0,1192.5
255.0,27.0,1132.0
255.0,28.0,1143.5
256.0,27.0,1132.0
256.0,28.0,1143.5
257.0,28.0,1143.5
257.0,29.0,1155.0
258.0,28.0,1143.5
258.0,29.0,1155.0
259.0,28.0,1143.5
260.0,28.0,1143.5
260.0,29.0,1155.0
261.0,28.0,1143.5
261.0,29.0,1155.0
262.0,29.0,1155.0
263.0,29.0,1155.0
263.0,30.0,1166.5
264.0,29.0,1155.0
264.0,30.0,1166.5
264.0,31.0,1177.5
265.0,29.0,1155.0
266.0,29.0,1155.0
267.0,29.0,1155.0
267.0,30.0,1166.5
267.0,31.0,1177.5
267.0,32.0,1192.5
268.0,30.0,1166.5
268.0,31.0,1177.5
268.0,32.0,1192.5
268.0,33.0,1208.5
268.0,34.0,1226.0
269.0,30.0,1166.5
270.0,30.0,1166.5
270.0,31.0,1177.5
271.0,30.0,1166.5
272.0,31.0,1177.5
273.0,31.0,1177.5
273.0,32.0,1192.5
273.0,33.0,1208.5
273.0,34.0,1226.0
273.0,35.0,1261.5
273.0,36.0,1311.5
274.0,31.0,1177.5
274.0,32.0,1192.5
274.0,33.0,1208.5
274.0,34.0,1226.0
274.0,35.0,1261.5
275.0,31.0,1177.5
276.0,31.0,1177.5
277.0,31.0,1177.5
277.0,32.0,1192.5
278.0,32.0,1192.5
279.0,32.0,1192.5
280.0,32.0,1192.5
280.0,33.0,1208.5
281.0,32.0,1192.5
282.0,32.0,1192.5
283.0,32.0,1192.5
283.0,33.0,1208.5
283.0,34.0,1226.0
283.0,35.0,1261.5
284.0,32.0,1192.5
285.0,32.0,1192.5
286.0,32.0,1192.5
287.0,32.0,1192.5
287.0,33.0,1208.5
288.0,33.0,1208.5
288.0,34.0,1226.0
289.0,33.0,1208.5
290.0,33.0,1208.5
290.0,34.0,1226.0
290.0,35.0,1261.5
291.0,34.0,1226.0
292.0,34.0,1226.0
293.0,34.0,1226.0
294.0,34.0,1226.0
295.0,34.0,1226.0
296.0,35.0,1261.5
296.0,36.0,1311.5
296.0,37.0,1353.5
297.0,35.0,1261.5
298.0,35.0,1261.5
298.0,36.0,1311.5
298.0,37.0,1353.5
298.0,38.0,1378.5
298.0,39.0,1403.5
298.0,40.0,1428.5
298.0,41.0,1445.5
298.0,42.0,1459.5
298.0,43.0,1493.0
298.0,44.0,1526.5
298.0,45.0,1548.5
298.0,46.0,1570.5
298.0,47.0,1581.5
298.0,48.0,1592.5
299.0,35.0,1261.5
300.0,35.0,1261.5
301.0,35.0,1261.5
302.0,35.0,1261.5
303.0,35.0,1261.5
304.0,35.0,1261.5
305.0,35.0,1261.5
306.0,35.0,1261.5
307.0,35.0,1261.5
308.0,35.0,1261.5
309.0,35.0,1261.5
310.0,35.0,1261.5
311.0,35.0,1261.5
311.0,36.0,1311.5
311.0,37.0,1353.5
311.0,38.0,1378.5
312.0,36.0,1311.5
313.0,36.0,1311.5
313.0,37.0,1353.5
313.0,38.0,1378.5
313.0,39.0,1403.5
313.0,40.0,1428.5
313.0,41.0,1445.5
313.0,42.0,1459.5
313.0,43.0,1493.0
313.0,44.0,1526.5
313.0,45.0,1548.5
313.0,46.0,1570.5
314.0,36.0,1311.5
314.0,37.0,1353.5
314.0,38.0,1378.5
315.0,36.0,1311.5
316.0,36.0,1311.5
317.0,36.0,1311.5
317.0,37.0,1353.5
318.0,37.0,1353.5
318.0,38.0,1378.5
318.0,39.0,1403.5
319.0,37.0,1353.5
319.0,38.0,1378.5
320.0,37.0,1353.5
321.0,37.0,1353.5
321.0,38.0,1378.5
321.0,39.0,1403.5
322.0,37.0,1353.5
322.0,38.0,1378.5
322.0,39.0,1403.5
323.0,37.0,1353.5
323.0,38.0,1378.5
324.0,37.0,1353.5
324.0,38.0,1378.5
325.0,37.0,1353.5
325.0,38.0,1378.5
325.0,39.0,1403.5
325.0,40.0,1428.5
325.0,41.0,1445.5
325.0,42.0,1459.5
325.0,43.0,1493.0
325.0,44.0,1526.5
325.0,45.0,1548.5
325.0,46.0,1570.5
325.0,47.0,1581.5
325.0,48.0,1592.5
326.0,37.0,1353.5
327.0,37.0,1353.5
328.0,37.0,1353.5
328.0,38.0,1378.5
329.0,37.0,1353.5
330.0,37.0,1353.5
331.0,37.0,1353.5
331.0,38.0,1378.5
332.0,38.0,1378.5
333.0,38.0,1378.5
334.0,38.0,1378.5
335.0,38.0,1378.5
335.0,39.0,1403.5
335.0,40.0,1428.5
336.0,38.0,1378.5
337.0,38.0,1378.5
338.0,38.0,1378.5
339.0,39.0,1403.5
339.0,40.0,1428.5
339.0,41.0,1445.5
339.0,42.0,1459.5
340.0,39.0,1403.5
340.0,40.0,1428.5
340.0,41.0,1445.5
340.0,42.0,1459.5
341.0,39.0,1403.5
342.0,39.0,1403.5
343.0,39.0,1403.5
344.0,39.0,1403.5
345.0,39.0,1403.5
345.0,40.0,1428.5
345.0,41.0,1445.5
346.0,39.0,1403.5
347.0,39.0,1403.5
348.0,39.0,1403.5
348.0,40.0,1428.5
348.0,41.0,1445.5
349.0,39.0,1403.5
350.0,40.0,1428.5
351.0,40.0,1428.5
352.0,40.0,1428.5
352.0,41.0,1445.5
352.0,42.0,1459.5
352.0,43.0,1493.0
352.0,44.0,1526.5
352.0,45.0,1548.5
352.0,46.0,1570.5
352.0,47.0,1581.5
352.0,48.0,1592.5
352.0,49.0,1618.5
352.0,50.0,1650.0
352.0,51.0,1677.5
352.0,52.0,1699.5
353.0,40.0,1428.5
354.0,40.0,1428.5
355.0,40.0,1428.5
356.0,41.0,1445.5
356.0,42.0,1459.5
356.0,43.0,1493.0
357.0,41.0,1445.5
358.0,41.0,1445.5
359.0,41.0,1445.5
359.0,42.0,1459.5
360.0,42.0,1459.5
361.0,42.0,1459.5
362.0,42.0,1459.5
362.0,43.0,1493.0
362.0,44.0,1526.5
363.0,42.0,1459.5
364.0,42.0,1459.5
364.0,43.0,1493.0
364.0,44.0,1526.5
364.0,45.0,1548.5
364.0,46.0,1570.5
365.0,42.0,1459.5
366.0,42.0,1459.5
367.0,42.0,1459.5
368.0,43.0,1493.0
369.0,43.0,1493.0
369.0,44.0,1526.5
370.0,43.0,1493.0
371.0,43.0,1493.0
371.0,44.0,1526.5
371.0,45.0,1548.5
371.0,46.0,1570.5
372.0,43.0,1493.0
373.0,43.0,1493.0
373.0,44.0,1526.5
373.0,45.0,1548.5
373.0,46.0,1570.5
373.0,47.0,1581.5
373.0,48.0,1592.5
373.0,49.0,1618.5
373.0,50.0,1650.0
373.0,51.0,1677.5
373.0,52.0,1699.5
374.0,43.0,1493.0
374.0,44.0,1526.5
375.0,43.0,1493.0
375.0,44.0,1526.5
376.0,43.0,1493.0
376.0,44.0,1526.5
377.0,43.0,1493.0
377.0,44.0,1526.5
378.0,44.0,1526.5
379.0,44.0,1526.5
379.0,45.0,1548.5
380.0,44.0,1526.5
381.0,44.0,1526.5
382.0,44.0,1526.5
383.0,44.0,1526.5
383.0,45.0,1548.5
384.0,44.0,1526.5
385.0,45.0,1548.5
385.0,46.0,1570.5
385.0,47.0,1581.5
385.0,48.0,1592.5
386.0,45.0,1548.5
386.0,46.0,1570.5
386.0,47.0,1581.5
386.0,48.0,1592.5
387.0,45.0,1548.5
387.0,46.0,1570.5
388.0,45.0,1548.5
389.0,45.0,1548.5
390.0,45.0,1548.5
390.0,46.0,1570.5
390.0,47.0,1581.5
390.0,48.0,1592.5
391.0,45.0,1548.5
392.0,45.0,1548.5
393.0,45.0,1548.5
393.0,46.0,1570.5
393.0,47.0,1581.5
393.0,48.0,1592.5
393.0,49.0,1618.5
394.0,45.0,1548.5
395.0,45.0,1548.5
396.0,45.0,1548.5
396.0,46.0,1570.5
396.0,47.0,1581.5
397.0,45.0,1548.5
398.0,45.0,1548.5
398.0,46.0,1570.5
398.0,47.0,1581.5
399.0,45.0,1548.5
400.0,45.0,1548.5
401.0,45.0,1548.5
401.0,46.0,1570.5
401.0,47.0,1581.5
401.0,48.0,1592.5
401.0,49.0,1618.5
401.0,50.0,1650.0
401.0,51.0,1677.5
401.0,52.0,1699.5
402.0,45.0,1548.5
403.0,46.0,1570.5
404.0,46.0,1570.5
404.0,47.0,1581.5
404.0,48.0,1592.5
404.0,49.0,1618.5
405.0,46.0,1570.5
406.0,46.0,1570.5
407.0,47.0,1581.5
408.0,47.0,1581.5
408.0,48.0,1592.5
409.0,47.0,1581.5
410.0,47.0,1581.5
410.0,48.0,1592.5
410.0,49.0,1618.5
410.0,50.0,1650.0
410.0,51.0,1677.5
411.0,47.0,1581.5
412.0,47.0,1581.5
412.0,48.0,1592.5
412.0,49.0,1618.5
412.0,50.0,1650.0
412.0,51.0,1677.5
412.0,52.0,1699.5
413.0,48.0,1592.5
414.0,48.0,1592.5
415.0,48.0,1592.5
416.0,48.0,1592.5
417.0,48.0,1592.5
417.0,49.0,1618.5
418.0,49.0,1618.5
418.0,50.0,1650.0
418.0,51.0,1677.5
419.0,49.0,1618.5
419.0,50.0,1650.0
420.0,49.0,1618.5
421.0,49.0,1618.5
421.0,50.0,1650.0
422.0,49.0,1618.5
423.0,49.0,1618.5
423.0,50.0,1650.0
423.0,51.0,1677.5
423.0,52.0,1699.5
424.0,49.0,1618.5
424.0,50.0,1650.0
425.0,49.0,1618.5
426.0,49.0,1618.5
426.0,50.0,1650.0
427.0,49.0,1618.5
428.0,49.0,1618.5
429.0,49.0,1618.5
430.0,49.0,1618.5
431.0,49.0,1618.5
431.0,50.0,1650.0
431.0,51.0,1677.5
431.0,52.0,1699.5
432.0,50.0,1650.0
433.0,50.0,1650.0
433.0,51.0,1677.5
434.0,50.0,1650.0
435.0,50.0,1650.0
435.0,51.0,1677.5
435.0,52.0,1699.5
436.0,50.0,1650.0
436.0,51.0,1677.5
436.0,52.0,1699.5
437.0,50.0,1650.0
438.0,50.0,1650.0
438.0,51.0,1677.5
438.0,52.0,1699.5
439.0,51.0,1677.5
439.0,52.0,1699.5
440.0,51.0,1677.5
440.0,52.0,1699.5
441.0,51.0,1677.5
441.0,52.0,1699.5
